数据名称	API	描述	最低分值
日线行情	daily	全部历史，交易日每日15点～17点之间更新	0
周线行情	weekly	全部历史，每周五15点～17点之间更新	300
月线行情	monthly	全部历史，每月更新	300
每日指标数据	daily_basic	交易日每日15点～17点之间更新	300
IPO新股列表	new_share	每日19点更新	120
龙虎榜每日明细	top_list	数据开始于2005年，每日晚8点更新	300
龙虎榜机构交易明细	top_inst	数据开始于2005年，每日晚8点更新	300
股权质押明细	pledge_detail	数据开始于2004年，每日晚9点更新	300
股权质押统计	pledge_stat	数据开始于2014年，每日晚9点更新	300
融资融券交易汇总	margin	数据开始于2010年，每日9点更新	200
融资融交易明细	margin_detail	数据开始于2010年，每日9点更新	200
股票回购	repurchase	数据开始于2011年，每日定时更新	600
概念股分类	concept	定期更新	300
概念股列表	concept_detail	定期更新	300
限售股解禁	share_float	定期更新	120
大宗交易	block_trade	每日晚9点	300
股票开户数据	stk_account	每周更新一次	600
股票开户数据（旧）	stk_account_old	每周更新一次	600
股东人数	stk_holdernumber	不定期更新	600
个股资金流向	moneyflow	交易日19点	1500
股东增减持	stk_holdertrade	交易日19点	2000
每日涨跌停价格	stk_limit	交易日9点	600起

利润表	income	全部历史，实时更新	500
资产负债表	balancesheet	全部历史，实时更新	500
现金流量表	cashflow	全部历史，实时更新	500
业绩预告	forecast	全部历史，实时更新	600
业绩快报	express	全部历史，实时更新	600
分红送股	dividend	全部历史，实时更新	500
财务指标数据	fina_indicator	全部历史，随财报实时更新	500
财务审计意见	fina_audit	全部历史，随财报实时更新	500
主营业务构成	fina_mainbz	全部历史，随财报实时更新	500
财报披露计划	disclosure_date	全部历史，定期更新	500

公募基金列表	fund_basic	全部历史，定时更新	200
公募基金公司	fund_company	全部历史，定时更新	200
公募基金净值	fund_nav	全部历史，每日定期更新	400
场内基金日线行情	fund_daily	全部历史，每日盘后更新	500
公募基金分红	fund_div	全部历史，定期更新	400
公募基金持仓数据	fund_portfolio	股票持仓数据，定期采集更新	1000

期权合约列表	opt_basic	全部历史，每日更新	120起
期权日线行情	opt_daily	全部历史，每日更新	120起

可转债基础信息	cb_basic	全部历史，每日更新	2000
可转债发行数据	cb_issue	全部历史，每日更新	2000
可转债日线数据	cb_daily	全部历史，每日更新	2000

外汇基础信息（海外）	fx_obasic	全部历史，每日更新	2000
外汇日线行情	fx_daily	全部历史，每日更新	2000

指数基本信息	index_basic	每日更新	200
指数日线行情	index_daily	全部历史，交易日15点～17点更新	200
指数周线行情	index_weekly	每周盘后更新	600起
指数月线行情	index_monthly	每月盘后更新	600起
指数成分和权重	index_weight	月度成分和权重数据	400
大盘指数每日指标	index_dailybasic	数据开始月2004年1月，每日盘后更新	400
申万行业分类	index_classify	全部分类	2000
申万行业成分	index_member	全部数据	2000

台湾电子产业月营收	tmt_twincome	数据开始于2011年，月度更新	0
台湾电子产业月营收明细	tmt_twincomedetail	数据开始于2011年，月度更新	0
电影月度票房	bo_monthly	数据开始于2008年，月度更新	500
电影周度票房	bo_weekly	数据开始于2008年，每周更新	500
电影日度票房	bo_daily	数据开始于2018年，每日更新	500
影院每日票房	bo_cinema	数据开始于2018年，每日更新	500
全国电影剧本备案数据	film_record	数据开始于2011年，定期更新	120起
全国电视剧本备案数据	teleplay_record	数据开始于2009年，定期更新	600起

数字货币行情	coinbar	数据开始于2017年，实时更新	1000RMB

SHIBOR利率数据	shibor	数据开始于2006年，每日12点	120
SHIBOR报价数据	shibor_quote	数据开始于2006年，每日12点	120
LPR贷款基础利率	shibor_lpr	数据开始于2013年，每日12点	120
LIBOR拆借利率	libor	数据开始于1986年，每日12点	120
HIBOR拆借利率	hibor	数据开始于2002年，每日12点	120
温州民间借贷利率	wz_index	数据不定期更新	2000
广州民间借贷利率	gz_index	数据不定期更新	2000

新闻资讯	news	实时更新	1500起，5000积分无限制
新闻联播文字稿	cctv_news	包含超过12年历史，每天21：30～22点更新当日数据	120起
上市公司公告	anns	包含超过19年历史公告原文，实时更新	2000起
